Order Book - 2023-06-15
Buy 29.01% | Sell 70.99%
Closing Price: 10.59

Buy Orders           | Sell Orders         
-------------------------------------------
 1 11.35 1845800 (1) <-- Close |  1 9.86 104600 (2)  
 2 11.20 77000 (1) <-- Close |  2 9.88 13400 (2)   
 3 11.08 142000 (1) <-- Close |  3 10.01 91400 (2)  
 4 11.07 175800 (1) <-- Close |  4 10.03 193400 (4) 
 5 11.05 76000 (1) <-- Close |  5 10.09 203200 (2) 
 6 11.03 265000 (2) <-- Close |  6 10.15 204800 (4) 
 7 11.00 109100 (1) <-- Close |  7 10.17 103400 (2) 
 8 10.98 1267000 (1) <-- Close |  8 10.18 108200 (2) 
 9 10.97 92600 (1) <-- Close |  9 10.19 392800 (6) 
10 10.92 248400 (3) <-- Close | 10 10.20 157200 (4) 
11 10.91 71000 (1) <-- Close | 11 10.21 90400 (4)  
12 10.89 82300 (1) <-- Close | 12 10.22 1016400 (2)
13 10.88 155300 (2) <-- Close | 13 10.24 147000 (4) 
14 10.87 1056400 (1) <-- Close | 14 10.25 107000 (2) 
15 10.86 71900 (1) <-- Close | 15 10.29 103200 (4) 
16 10.85 76900 (1) <-- Close | 16 10.30 1188200 (4)
17 10.84 873800 (1) <-- Close | 17 10.34 208000 (4) 
18 10.82 219800 (2) <-- Close | 18 10.35 841000 (4) 
19 10.81 78700 (1) <-- Close | 19 10.36 204400 (4) 
20 10.80 81300 (1) <-- Close | 20 10.37 115600 (2) 
21 10.78 132900 (1) <-- Close | 21 10.38 103400 (2) 
22 10.76 790500 (1) <-- Close | 22 10.40 198600 (4) 
23 10.73 142800 (1) <-- Close | 23 10.41 78000 (2)  
24 10.71 146300 (1) <-- Close | 24 10.42 168800 (2) 
25 10.70 901600 (1) <-- Close | 25 10.43 1079200 (4)
26 10.69 396800 (2) <-- Close | 26 10.44 770200 (2) 
27 10.68 292700 (3) <-- Close | 27 10.45 198800 (4) 
28 10.66 732700 (1) <-- Close | 28 10.46 365200 (4) 
29 10.64 1917800 (2) <-- Close | 29 10.48 344000 (4) 
30 10.63 610700 (1) <-- Close | 30 10.49 1199200 (6)
31 10.62 237500 (2) <-- Close | 31 10.50 77400 (2)  
32 10.61 80400 (1) <-- Close | 32 10.51 126200 (4) 
33 10.59 1702200 (2) <-- Close | 33 10.52 1925000 (2)
34 10.57 161000 (2)  | 34 10.53 178400 (4) 
35 10.55 943600 (1)  | 35 10.54 187600 (4) 
36 10.54 248300 (2)  | 36 10.55 1980400 (2)
37 10.53 501700 (1)  | 37 10.56 190400 (2) 
38 10.52 96200 (1)   | 38 10.57 96400 (2)  
39 10.51 326200 (2)  | 39 10.58 202000 (4) 
40 10.50 190400 (1)  | 40 10.59 1217800 (6) <-- Close
41 10.48 2433700 (2) | 41 10.61 2103800 (8)
42 10.47 2466600 (3) | 42 10.62 620800 (10)
43 10.46 68400 (1)   | 43 10.63 2053400 (6)
44 10.45 649500 (2)  | 44 10.64 206600 (2) 
45 10.44 485900 (1)  | 45 10.65 312400 (6) 
46 10.43 352300 (2)  | 46 10.66 189200 (4) 
47 10.42 768600 (1)  | 47 10.68 286800 (4) 
48 10.40 969900 (1)  | 48 10.69 1092000 (4)
49 10.39 163900 (2)  | 49 10.70 480800 (8) 
50 10.38 82300 (1)   | 50 10.71 192200 (4) 
51 10.36 622300 (2)  | 51 10.72 1857000 (2)
52 10.35 1197700 (2) | 52 10.73 189600 (4) 
53 10.33 838400 (2)  | 53 10.75 97200 (2)  
54 10.32 419600 (2)  | 54 10.76 82800 (2)  
55 10.31 179800 (2)  | 55 10.77 213400 (2) 
56 10.30 954600 (1)  | 56 10.78 377200 (2) 
57 10.28 1945500 (1) | 57 10.80 101600 (2) 
58 10.26 940100 (1)  | 58 10.81 73600 (2)  
59 10.25 78400 (1)   | 59 10.83 99200 (2)  
60 10.23 137400 (2)  | 60 10.86 1077400 (4)
61 10.22 463900 (1)  | 61 10.87 99200 (2)  
62 10.21 1043800 (1) | 62 10.88 209600 (4) 
63 10.20 76800 (1)   | 63 10.89 170400 (2) 
64 10.19 1784800 (1) | 64 10.91 359200 (6) 
65 10.18 1015200 (1) | 65 10.93 376000 (6) 
66 10.14 80800 (1)   | 66 10.97 97000 (2)  
67 10.11 104500 (1)  | 67 10.99 920200 (2) 
68 10.10 49100 (1)   | 68 11.00 649600 (2) 
69 10.09 100400 (1)  | 69 11.04 197800 (4) 
70 10.07 97900 (1)   | 70 11.05 92000 (2)  
71 10.06 1177900 (1) | 71 11.07 280600 (2) 
72 10.05 85400 (1)   | 72 11.09 99000 (2)  
73 10.02 88200 (1)   | 73 11.20 89200 (2)  
74 9.93 185600 (2)   | 74 11.35 273800 (2) 
75 9.87 1009300 (1)  | 75 11.43 157600 (2) 
76 9.80 87000 (1)    |                     
