Order Book - 2023-06-15
Buy 61.22% | Sell 38.78%
Closing Price: 9.38

Buy Orders           | Sell Orders         
-------------------------------------------
 1 10.02 1304100 (1) <-- Close |  1 8.68 3935200 (4) 
 2 9.93 203100 (2) <-- Close |  2 8.73 438000 (4)  
 3 9.86 100700 (1) <-- Close |  3 8.82 888000 (4)  
 4 9.82 5000 (1) <-- Close |  4 8.83 454800 (4)  
 5 9.81 5300 (1) <-- Close |  5 8.85 689600 (4)  
 6 9.77 106000 (1) <-- Close |  6 8.97 431200 (4)  
 7 9.76 9600 (1) <-- Close |  7 8.98 328800 (4)  
 8 9.75 195700 (2) <-- Close |  8 8.99 224800 (4)  
 9 9.74 109700 (1) <-- Close |  9 9.03 508800 (4)  
10 9.73 90100 (1) <-- Close | 10 9.04 380000 (4)  
11 9.71 226600 (2) <-- Close | 11 9.07 454000 (4)  
12 9.70 70600 (4) <-- Close | 12 9.09 2142800 (4) 
13 9.69 2075700 (2) <-- Close | 13 9.11 851600 (8)  
14 9.67 2408500 (4) <-- Close | 14 9.21 911200 (8)  
15 9.66 13900 (2) <-- Close | 15 9.22 388400 (4)  
16 9.64 1468200 (2) <-- Close | 16 9.23 442400 (4)  
17 9.63 749500 (4) <-- Close | 17 9.25 799600 (8)  
18 9.62 95900 (2) <-- Close | 18 9.29 48400 (4)   
19 9.59 1847700 (2) <-- Close | 19 9.35 460400 (4)  
20 9.58 51200 (1) <-- Close | 20 9.37 830400 (4)  
21 9.57 322000 (2) <-- Close | 21 9.38 560800 (4) <-- Close
22 9.56 363100 (3) <-- Close | 22 9.44 278000 (4)  
23 9.54 217700 (1) <-- Close | 23 9.45 1408800 (8) 
24 9.53 316800 (3) <-- Close | 24 9.47 418000 (4)  
25 9.51 253300 (6) <-- Close | 25 9.58 430000 (4)  
26 9.49 10600 (2) <-- Close | 26 9.68 1820000 (12)
27 9.48 248000 (3) <-- Close | 27 9.77 399600 (4)  
28 9.47 5700 (1) <-- Close | 28 9.78 3531600 (4) 
29 9.46 1106400 (2) <-- Close | 29 9.81 392800 (4)  
30 9.45 607000 (3) <-- Close |                     
31 9.44 321900 (5) <-- Close |                     
32 9.43 117800 (1) <-- Close |                     
33 9.42 1700700 (4) <-- Close |                     
34 9.41 140300 (1) <-- Close |                     
35 9.40 580300 (5) <-- Close |                     
36 9.39 122300 (3) <-- Close |                     
37 9.38 3467200 (7) <-- Close |                     
38 9.37 10100 (1)    |                     
39 9.36 2668300 (6)  |                     
40 9.35 134200 (2)   |                     
41 9.34 2175300 (3)  |                     
42 9.33 1529400 (5)  |                     
43 9.32 31100 (4)    |                     
44 9.31 363500 (2)   |                     
45 9.30 1185500 (3)  |                     
46 9.29 29300 (3)    |                     
47 9.28 220900 (3)   |                     
48 9.27 2182100 (6)  |                     
49 9.26 1223400 (2)  |                     
50 9.25 550700 (4)   |                     
51 9.24 2879800 (4)  |                     
52 9.23 349300 (2)   |                     
53 9.22 296000 (4)   |                     
54 9.21 301600 (4)   |                     
55 9.20 185500 (3)   |                     
56 9.19 11900 (2)    |                     
57 9.18 19600 (2)    |                     
58 9.17 343300 (4)   |                     
59 9.16 765200 (4)   |                     
60 9.15 10200 (1)    |                     
61 9.14 1102900 (2)  |                     
62 9.13 117700 (3)   |                     
63 9.12 161300 (1)   |                     
64 9.11 14700 (2)    |                     
65 9.10 262600 (3)   |                     
66 9.09 1278300 (3)  |                     
67 9.08 152500 (2)   |                     
68 9.07 122900 (3)   |                     
69 9.06 132300 (3)   |                     
70 9.05 4047100 (5)  |                     
71 9.04 6600 (1)     |                     
72 9.03 10500 (1)    |                     
73 9.02 189800 (2)   |                     
74 9.01 202800 (3)   |                     
75 9.00 653500 (2)   |                     
76 8.98 1634100 (4)  |                     
77 8.97 2837900 (2)  |                     
78 8.95 10700 (2)    |                     
79 8.94 64100 (2)    |                     
80 8.88 324000 (1)   |                     
81 8.84 127300 (2)   |                     
82 8.83 10500 (1)    |                     
83 8.81 6100 (1)     |                     
84 8.80 538300 (1)   |                     
85 8.78 107300 (1)   |                     
86 8.74 12500 (2)    |                     
87 8.71 1148900 (1)  |                     
88 8.66 6500 (1)     |                     
89 8.60 8600 (1)     |                     
