Order Book - 2023-06-15
Buy 81.07% | Sell 18.93%
Closing Price: 5.56

Buy Orders          | Sell Orders        
-----------------------------------------
 1 6.02 28600 (1) <-- Close |  1 5.19 339800 (2) 
 2 6.01 51800 (1) <-- Close |  2 5.41 443200 (4) 
 3 5.94 1740400 (1) <-- Close |  3 5.42 7561400 (2)
 4 5.91 118300 (2) <-- Close |  4 5.48 2224800 (4)
 5 5.90 495600 (1) <-- Close |  5 5.52 363200 (2) 
 6 5.88 317200 (2) <-- Close |  6 5.55 153800 (2) 
 7 5.87 1030200 (3) <-- Close |  7 5.56 235800 (2) <-- Close
 8 5.86 465900 (2) <-- Close |  8 5.69 4060400 (4)
 9 5.84 928400 (1) <-- Close |  9 5.70 293000 (2) 
10 5.83 24300 (1) <-- Close | 10 5.77 279200 (2) 
11 5.82 53400 (1) <-- Close | 11 5.78 236600 (2) 
12 5.81 30800 (1) <-- Close | 12 5.84 423600 (2) 
13 5.80 24500 (1) <-- Close | 13 5.85 301400 (2) 
14 5.79 53900 (1) <-- Close |                    
15 5.78 53600 (1) <-- Close |                    
16 5.75 175500 (5) <-- Close |                    
17 5.74 327500 (2) <-- Close |                    
18 5.73 107600 (2) <-- Close |                    
19 5.72 30600 (1) <-- Close |                    
20 5.71 85600 (1) <-- Close |                    
21 5.70 556000 (3) <-- Close |                    
22 5.69 672400 (5) <-- Close |                    
23 5.68 31300 (1) <-- Close |                    
24 5.67 2224600 (5) <-- Close |                    
25 5.66 243500 (6) <-- Close |                    
26 5.65 977300 (3) <-- Close |                    
27 5.64 136300 (3) <-- Close |                    
28 5.63 360400 (3) <-- Close |                    
29 5.62 84800 (2) <-- Close |                    
30 5.61 1809400 (4) <-- Close |                    
31 5.60 29200 (1) <-- Close |                    
32 5.59 3447900 (5) <-- Close |                    
33 5.58 1341400 (7) <-- Close |                    
34 5.57 1897700 (3) <-- Close |                    
35 5.56 490600 (4) <-- Close |                    
36 5.55 62900 (2)   |                    
37 5.54 325800 (5)  |                    
38 5.53 388600 (3)  |                    
39 5.52 578600 (4)  |                    
40 5.51 348400 (6)  |                    
41 5.50 53900 (1)   |                    
42 5.49 561700 (2)  |                    
43 5.48 679800 (8)  |                    
44 5.47 176000 (4)  |                    
45 5.45 503000 (5)  |                    
46 5.44 55500 (1)   |                    
47 5.42 96300 (2)   |                    
48 5.41 61500 (2)   |                    
49 5.40 357700 (1)  |                    
50 5.39 30300 (1)   |                    
51 5.32 54800 (1)   |                    
52 5.31 56400 (1)   |                    
53 5.30 26200 (1)   |                    
54 5.29 56900 (1)   |                    
