Order Book - 2023-06-15
Buy 51.72% | Sell 48.28%
Closing Price: 14.59

Buy Orders           | Sell Orders         
-------------------------------------------
 1 15.46 129300 (1) <-- Close |  1 13.99 762500 (1) 
 2 15.40 107000 (1) <-- Close |  2 14.23 77100 (1)  
 3 15.32 31900 (1) <-- Close |  3 14.26 71300 (1)  
 4 15.28 111900 (1) <-- Close |  4 14.31 87000 (1)  
 5 15.27 142200 (1) <-- Close |  5 14.34 1924400 (1)
 6 15.24 32700 (1) <-- Close |  6 14.43 681100 (1) 
 7 15.22 460500 (1) <-- Close |  7 14.44 72700 (1)  
 8 15.15 585800 (1) <-- Close |  8 14.47 709900 (1) 
 9 15.05 657600 (1) <-- Close |  9 14.48 84100 (1)  
10 15.04 64100 (1) <-- Close | 10 14.49 706600 (1) 
11 15.03 96800 (1) <-- Close | 11 14.53 112800 (1) 
12 14.99 59400 (1) <-- Close | 12 14.59 736800 (1) <-- Close
13 14.89 1210000 (1) <-- Close | 13 14.60 65800 (1)  
14 14.78 1257000 (1) <-- Close | 14 14.69 36200 (1)  
15 14.75 67200 (1) <-- Close | 15 14.71 71300 (1)  
16 14.74 67800 (1) <-- Close | 16 14.73 73500 (1)  
17 14.73 111700 (1) <-- Close | 17 14.74 1208000 (1)
18 14.66 690700 (1) <-- Close | 18 14.76 74800 (1)  
19 14.55 343600 (1)  | 19 14.77 177400 (1) 
20 14.54 69800 (1)   | 20 14.84 41400 (1)  
21 14.52 686700 (1)  | 21 14.85 713400 (1) 
22 14.51 60700 (1)   | 22 14.92 2493000 (2)
23 14.44 61300 (1)   | 23 15.04 1675500 (1)
24 14.41 70300 (1)   | 24 15.14 327300 (1) 
25 14.38 71600 (1)   | 25 15.27 153300 (1) 
26 14.34 71500 (1)   | 26 15.42 847400 (1) 
27 14.30 149300 (1)  | 27 15.70 72600 (1)  
28 14.25 725900 (1)  |                     
29 14.10 73700 (1)   |                     
30 13.80 1005500 (1) |                     
