stock_code,user_id,direction,executed_price,executed_quantity,original_quantity,unfilled_quantity,timestamp
REEI,97866796070,buy,9.21,93400,93400,0,2023-06-15 11:21:08.747085
REEI,55503246178,buy,9.21,104000,104000,0,2023-06-15 14:31:39.046082
REEI,74154306146,buy,9.21,933700,933700,0,2023-06-15 10:32:21.251109
REEI,94609594557,buy,9.21,105100,105100,0,2023-06-15 14:38:01.655120
REEI,83285099028,buy,9.21,1045700,1045700,0,2023-06-15 14:25:52.463254
REEI,83307643692,buy,9.21,103000,103000,0,2023-06-15 13:55:02.835942
REEI,69103304303,buy,9.21,1227400,1227400,0,2023-06-15 13:30:02.335133
REEI,68493791533,buy,9.21,46600,46600,0,2023-06-15 14:09:15.188367
REEI,89384948645,buy,9.21,1007300,1007300,0,2023-06-15 14:28:43.272535
REEI,56315373828,buy,9.21,114200,114200,0,2023-06-15 14:05:28.903915
REEI,19523927125,buy,9.21,102800,102800,0,2023-06-15 14:29:54.513651
REEI,73523616337,buy,9.21,542600,542600,0,2023-06-15 09:41:42.609586
REEI,94588474629,buy,9.21,91400,91400,0,2023-06-15 10:02:38.960958
REEI,81063925010,buy,9.21,92500,92500,0,2023-06-15 11:01:53.120054
REEI,52351177364,buy,9.21,53500,53500,0,2023-06-15 13:21:03.927642
REEI,24698632672,buy,9.21,1687100,1687100,0,2023-06-15 13:58:33.688013
REEI,23281855292,buy,9.21,2076400,2076400,0,2023-06-15 10:08:29.124588
REEI,99717074794,buy,9.21,106500,106500,0,2023-06-15 13:27:19.155874
REEI,38030669385,buy,9.21,850400,850400,0,2023-06-15 14:03:00.683679
REEI,50292229458,buy,9.21,173900,173900,0,2023-06-15 14:20:03.934170
REEI,63282882165,buy,9.21,1063200,1063200,0,2023-06-15 10:00:16.778399
REEI,86233293484,buy,9.21,100400,100400,0,2023-06-15 14:24:46.935496
REEI,24758580989,buy,9.21,103700,103700,0,2023-06-15 13:28:15.112058
REEI,48294569201,buy,9.21,156400,156400,0,2023-06-15 13:28:03.447294
REEI,65869298244,buy,9.21,98000,98000,0,2023-06-15 10:53:49.751793
REEI,63334896409,buy,9.21,249600,249600,0,2023-06-15 09:38:05.757250
REEI,93294782465,buy,9.21,111100,111100,0,2023-06-15 09:42:17.524966
REEI,93531157884,buy,9.21,105100,105100,0,2023-06-15 11:28:11.071838
REEI,80850303194,buy,9.21,111800,111800,0,2023-06-15 14:12:35.245810
REEI,85003520857,buy,9.21,88300,88300,0,2023-06-15 14:29:58.347757
REEI,92873967192,buy,9.21,99300,99300,0,2023-06-15 11:18:59.933560
REEI,35530389569,buy,9.21,99300,99300,0,2023-06-15 14:59:46.564717
REEI,63718176271,buy,9.21,214400,214400,0,2023-06-15 13:49:59.267779
REEI,37659616524,buy,9.21,112100,112100,0,2023-06-15 14:27:26.239461
REEI,43094587838,buy,9.21,1069100,1069100,0,2023-06-15 09:33:39.987840
REEI,19138803449,buy,9.21,105500,105500,0,2023-06-15 14:42:21.916113
REEI,88992850137,buy,9.21,1093400,1093400,0,2023-06-15 13:49:20.988143
REEI,49266980122,buy,9.21,220800,220800,0,2023-06-15 13:56:52.170969
REEI,41229353014,buy,9.21,186500,186500,0,2023-06-15 09:44:44.289062
REEI,12097837305,buy,9.21,166300,166300,0,2023-06-15 14:12:09.466195
REEI,49493398269,buy,9.21,190000,190000,0,2023-06-15 11:26:33.472766
REEI,14490236363,buy,9.21,109100,109100,0,2023-06-15 13:13:36.298041
REEI,11946293378,buy,9.21,541900,541900,0,2023-06-15 13:50:14.447570
REEI,27740897070,buy,9.21,101300,101300,0,2023-06-15 13:22:16.292982
REEI,91447825345,buy,9.21,1646900,1646900,0,2023-06-15 13:40:59.524280
REEI,99547825924,buy,9.21,2100600,2100600,0,2023-06-15 10:24:49.722358
REEI,40203822261,buy,9.21,115100,115100,0,2023-06-15 10:53:05.471570
REEI,50596815499,buy,9.21,1859400,1859400,0,2023-06-15 14:23:19.149620
REEI,86019026911,buy,9.21,104900,104900,0,2023-06-15 10:59:18.819325
REEI,88792353988,buy,9.21,173300,173300,0,2023-06-15 11:07:16.084314
REEI,72111245156,buy,9.21,113100,113100,0,2023-06-15 10:35:35.123354
REEI,57270767875,buy,9.21,1072700,1072700,0,2023-06-15 14:08:51.926072
REEI,65659043523,buy,9.21,120900,120900,0,2023-06-15 14:20:54.071489
REEI,74013811049,buy,9.21,96400,96400,0,2023-06-15 14:36:01.829378
REEI,92594586139,buy,9.21,52400,113400,61000,2023-06-15 14:45:58.589882
REEI,30604753018,sell,9.21,71800,71800,0,2023-06-15 09:49:53.852262
REEI,ZYF,sell,9.21,71800,71800,0,2023-06-15 09:56:56.501964
REEI,42819824470,sell,9.21,60100,60100,0,2023-06-15 13:30:25.096951
REEI,ZYF,sell,9.21,60100,60100,0,2023-06-15 14:33:40.696834
REEI,ZYF,sell,9.21,68800,68800,0,2023-06-15 10:12:55.390845
REEI,24026501706,sell,9.21,68800,68800,0,2023-06-15 13:02:02.711917
REEI,77081705687,sell,9.21,575000,575000,0,2023-06-15 09:33:45.388270
REEI,ZYF,sell,9.21,575000,575000,0,2023-06-15 10:29:46.202379
REEI,95334397009,sell,9.21,708400,708400,0,2023-06-15 10:30:03.287724
REEI,ZYF,sell,9.21,708400,708400,0,2023-06-15 14:48:05.970641
REEI,ZYF,sell,9.21,297300,297300,0,2023-06-15 10:14:09.252133
REEI,80109027149,sell,9.21,297300,297300,0,2023-06-15 13:16:42.819525
REEI,ZYF,sell,9.21,64300,64300,0,2023-06-15 09:31:23.017516
REEI,98338614723,sell,9.21,64300,64300,0,2023-06-15 14:27:21.565325
REEI,ZYF,sell,9.21,104600,104600,0,2023-06-15 11:22:50.214822
REEI,13726502735,sell,9.21,104600,104600,0,2023-06-15 14:23:18.669625
REEI,ZYF,sell,9.21,73500,73500,0,2023-06-15 14:01:26.745174
REEI,24473730972,sell,9.21,73500,73500,0,2023-06-15 14:55:40.046034
REEI,ZYF,sell,9.21,113700,113700,0,2023-06-15 09:40:38.120899
REEI,21211633581,sell,9.21,113700,113700,0,2023-06-15 13:54:42.393184
REEI,24449518783,sell,9.21,65600,65600,0,2023-06-15 13:24:22.486353
REEI,ZYF,sell,9.21,65600,65600,0,2023-06-15 14:33:03.238821
REEI,ZYF,sell,9.21,734700,734700,0,2023-06-15 10:00:51.585159
REEI,44164147418,sell,9.21,734700,734700,0,2023-06-15 13:43:42.243167
REEI,ZYF,sell,9.21,52000,52000,0,2023-06-15 13:55:08.860450
REEI,91250121016,sell,9.21,52000,52000,0,2023-06-15 14:53:20.531188
REEI,29853738887,sell,9.21,625100,625100,0,2023-06-15 09:42:58.943673
REEI,ZYF,sell,9.21,625100,625100,0,2023-06-15 14:19:50.316034
REEI,ZYF,sell,9.21,697400,697400,0,2023-06-15 10:39:24.629875
