date,stock_code,closing_price,volume,transaction_count,large_order_net_inflow
2023-06-16,EREI,11.94,24766900,185,-26743212.0
2023-06-16,FSEI,10.62,6650100,96,-11687310.0
2023-06-16,TSEI,5.63,14759100,103,10731343.0
2023-06-16,CPEI,10.69,24868300,186,-24472617.0
2023-06-16,MEI,9.42,17408200,127,-9692238.0
2023-06-16,REEI,9.31,12295200,108,-17015887.0
2023-06-16,CGEI,9.71,8241900,101,5773565.999999999
2023-06-16,IEEI,11.08,20125100,172,-14402892.0
2023-06-16,TLEI,11.24,6275700,118,-13266572.0
2023-06-16,TTEI,14.64,10798300,91,15853656.0
