Order Book - 2023-06-16
Buy 44.15% | Sell 55.85%
Closing Price: 9.71

Buy Orders           | Sell Orders        
------------------------------------------
 1 10.21 34200 (1) <-- Close |  1 8.66 271400 (1) 
 2 10.19 1482400 (1) <-- Close |  2 8.70 563400 (1) 
 3 10.07 1546200 (1) <-- Close |  3 8.90 24200 (1)  
 4 10.01 511700 (2) <-- Close |  4 9.07 28300 (1)  
 5 9.99 1116800 (1) <-- Close |  5 9.16 30000 (1)  
 6 9.97 38900 (1) <-- Close |  6 9.17 30100 (1)  
 7 9.94 557600 (1) <-- Close |  7 9.24 262700 (1) 
 8 9.90 164900 (2) <-- Close |  8 9.26 28300 (1)  
 9 9.89 220900 (1) <-- Close |  9 9.27 29400 (1)  
10 9.88 125700 (3) <-- Close | 10 9.28 27900 (1)  
11 9.87 91400 (2) <-- Close | 11 9.29 27800 (1)  
12 9.86 37100 (1) <-- Close | 12 9.30 28100 (1)  
13 9.85 203200 (2) <-- Close | 13 9.31 335500 (3) 
14 9.84 41700 (1) <-- Close | 14 9.32 84800 (3)  
15 9.82 271300 (5) <-- Close | 15 9.33 109400 (4) 
16 9.80 111800 (1) <-- Close | 16 9.34 27700 (1)  
17 9.78 1174900 (1) <-- Close | 17 9.35 601700 (1) 
18 9.77 36600 (1) <-- Close | 18 9.36 23900 (1)  
19 9.74 171400 (4) <-- Close | 19 9.37 27800 (1)  
20 9.73 166300 (1) <-- Close | 20 9.39 105300 (2) 
21 9.72 44500 (1) <-- Close | 21 9.40 366400 (2) 
22 9.71 92400 (1) <-- Close | 22 9.41 27500 (1)  
23 9.68 1023500 (1)  | 23 9.42 1101100 (2)
24 9.66 106400 (1)   | 24 9.43 131700 (2) 
25 9.64 47200 (1)    | 25 9.44 24700 (1)  
26 9.60 2399800 (1)  | 26 9.46 296100 (3) 
27 9.59 44800 (1)    | 27 9.48 26800 (1)  
28 9.58 114100 (1)   | 28 9.51 27900 (1)  
29 9.55 2346300 (3)  | 29 9.55 278000 (1) 
30 9.54 213200 (2)   | 30 9.57 28900 (1)  
31 9.52 143400 (3)   | 31 9.58 29100 (1)  
32 9.51 1148000 (1)  | 32 9.59 1275500 (4)
33 9.50 548800 (1)   | 33 9.60 59500 (2)  
34 9.49 151000 (2)   | 34 9.62 182500 (3) 
35 9.45 50700 (1)    | 35 9.63 257500 (1) 
36 9.44 1762500 (1)  | 36 9.65 267000 (1) 
37 9.43 300100 (3)   | 37 9.66 84400 (3)  
38 9.38 1102700 (1)  | 38 9.67 85500 (3)  
39 9.36 1031300 (1)  | 39 9.69 95600 (1)  
40 9.35 115700 (1)   | 40 9.71 2112700 (4) <-- Close
41 9.34 54800 (1)    | 41 9.74 207500 (3) 
42 9.33 48700 (1)    | 42 9.75 281300 (5) 
43 9.32 52900 (1)    | 43 9.76 26700 (1)  
44 9.31 85200 (2)    | 44 9.77 258300 (1) 
45 9.30 1051700 (1)  | 45 9.79 331000 (3) 
46 9.29 2288000 (4)  | 46 9.80 25500 (1)  
47 9.28 143900 (1)   | 47 9.82 23300 (1)  
48 9.25 41200 (1)    | 48 9.84 1062000 (2)
49 9.24 1230300 (1)  | 49 9.85 99100 (1)  
50 9.22 2117400 (2)  | 50 9.87 26000 (1)  
51 9.21 43400 (1)    | 51 9.88 51400 (2)  
52 9.20 45100 (1)    | 52 9.90 52800 (2)  
53 9.13 1187700 (1)  | 53 9.91 26000 (1)  
54 9.08 161100 (1)   | 54 9.92 2067500 (2)
55 8.95 114700 (1)   | 55 9.93 27400 (1)  
56 8.94 39400 (1)    | 56 9.94 993300 (1) 
57 8.92 46600 (1)    | 57 9.95 312600 (3) 
                     | 58 9.99 25500 (1)  
                     | 59 10.01 26300 (1) 
                     | 60 10.03 303800 (1)
                     | 61 10.04 27100 (1) 
                     | 62 10.06 13800 (1) 
                     | 63 10.09 25400 (1) 
                     | 64 10.10 113500 (2)
