Order Book - 2023-06-16
Buy 56.79% | Sell 43.21%
Closing Price: 10.69

Buy Orders           | Sell Orders         
-------------------------------------------
 1 11.45 133300 (1) <-- Close |  1 9.87 305100 (3)  
 2 11.40 1284000 (1) <-- Close |  2 10.05 306900 (3) 
 3 11.38 120100 (1) <-- Close |  3 10.06 301800 (3) 
 4 11.30 93700 (1) <-- Close |  4 10.07 314100 (3) 
 5 11.28 190900 (1) <-- Close |  5 10.13 300000 (3) 
 6 11.26 876400 (2) <-- Close |  6 10.16 458700 (6) 
 7 11.24 293400 (3) <-- Close |  7 10.20 577500 (6) 
 8 11.22 252800 (2) <-- Close |  8 10.24 6327000 (3)
 9 11.20 76800 (1) <-- Close |  9 10.32 2894700 (3)
10 11.17 91800 (1) <-- Close | 10 10.34 207000 (3) 
11 11.15 77800 (1) <-- Close | 11 10.38 315900 (3) 
12 11.13 75600 (1) <-- Close | 12 10.43 854700 (9) 
13 11.12 78000 (1) <-- Close | 13 10.47 2830800 (3)
14 11.11 70100 (1) <-- Close | 14 10.50 300300 (3) 
15 11.10 133900 (1) <-- Close | 15 10.52 3119700 (6)
16 11.09 868400 (2) <-- Close | 16 10.53 536400 (6) 
17 11.06 77900 (1) <-- Close | 17 10.55 2655000 (3)
18 11.05 1256900 (4) <-- Close | 18 10.57 137700 (3) 
19 11.03 433900 (3) <-- Close | 19 10.58 251700 (3) 
20 11.02 76400 (1) <-- Close | 20 10.59 288900 (3) 
21 10.99 316300 (3) <-- Close | 21 10.60 846000 (6) 
22 10.98 828200 (2) <-- Close | 22 10.61 132300 (3) 
23 10.97 1927300 (3) <-- Close | 23 10.63 84600 (3)  
24 10.96 268600 (3) <-- Close | 24 10.69 3095100 (6) <-- Close
25 10.95 1066000 (2) <-- Close | 25 10.70 283800 (3) 
26 10.94 69500 (1) <-- Close | 26 10.71 348600 (3) 
27 10.93 854400 (1) <-- Close | 27 10.72 292800 (3) 
28 10.91 2956500 (4) <-- Close | 28 10.73 90900 (3)  
29 10.90 253300 (3) <-- Close | 29 10.78 2801700 (3)
30 10.89 95100 (1) <-- Close | 30 10.80 570600 (3) 
31 10.88 111500 (1) <-- Close | 31 10.85 543900 (6) 
32 10.86 922900 (2) <-- Close | 32 10.87 5775300 (3)
33 10.85 301500 (3) <-- Close | 33 10.88 2802300 (3)
34 10.84 520900 (5) <-- Close | 34 10.90 137400 (3) 
35 10.83 106700 (1) <-- Close | 35 10.92 300600 (3) 
36 10.82 298600 (3) <-- Close | 36 10.95 293700 (3) 
37 10.80 105100 (1) <-- Close | 37 10.98 241200 (3) 
38 10.79 87200 (1) <-- Close | 38 10.99 1351200 (3)
39 10.77 1389100 (5) <-- Close | 39 11.01 2837400 (3)
40 10.76 79200 (1) <-- Close | 40 11.05 2828100 (6)
41 10.75 1104100 (3) <-- Close | 41 11.13 1290000 (3)
42 10.74 1783400 (3) <-- Close | 42 11.23 277500 (3) 
43 10.73 176500 (2) <-- Close |                     
44 10.72 1106100 (3) <-- Close |                     
45 10.71 361800 (3) <-- Close |                     
46 10.70 95900 (1) <-- Close |                     
47 10.69 1120500 (3) <-- Close |                     
48 10.68 540300 (1)  |                     
49 10.67 1304600 (6) |                     
50 10.66 180600 (2)  |                     
51 10.65 478200 (1)  |                     
52 10.64 939500 (1)  |                     
53 10.63 1110600 (5) |                     
54 10.62 336800 (3)  |                     
55 10.60 2655500 (4) |                     
56 10.59 84800 (1)   |                     
57 10.58 1190300 (4) |                     
58 10.57 472700 (3)  |                     
59 10.56 1427200 (2) |                     
60 10.55 1032700 (2) |                     
61 10.54 213000 (3)  |                     
62 10.53 1568100 (5) |                     
63 10.51 137000 (1)  |                     
64 10.50 1098300 (4) |                     
65 10.49 2180400 (4) |                     
66 10.47 118400 (1)  |                     
67 10.45 216700 (2)  |                     
68 10.44 220200 (2)  |                     
69 10.43 2109900 (4) |                     
70 10.42 1071300 (2) |                     
71 10.41 1198900 (3) |                     
72 10.40 1173300 (2) |                     
73 10.39 131500 (2)  |                     
74 10.38 80100 (1)   |                     
75 10.37 214000 (2)  |                     
76 10.35 392800 (4)  |                     
77 10.34 230300 (2)  |                     
78 10.33 182200 (2)  |                     
79 10.32 182200 (2)  |                     
80 10.30 90800 (1)   |                     
81 10.29 1487700 (2) |                     
82 10.27 991400 (2)  |                     
83 10.26 173600 (2)  |                     
84 10.25 983300 (1)  |                     
85 10.23 85600 (1)   |                     
86 10.20 102600 (1)  |                     
87 10.19 157300 (1)  |                     
88 10.18 108600 (1)  |                     
89 10.17 829900 (1)  |                     
90 10.16 1141800 (2) |                     
91 10.15 1162200 (1) |                     
92 10.14 86200 (1)   |                     
93 10.13 991200 (3)  |                     
94 10.12 77400 (1)   |                     
95 10.09 1338400 (2) |                     
96 10.04 101400 (1)  |                     
97 9.94 86300 (1)    |                     
98 9.91 146900 (1)   |                     
99 9.75 106000 (1)   |                     
100 9.63 144700 (1)  |                     
