Order Book - 2023-06-16
Buy 55.56% | Sell 44.44%
Closing Price: 11.94

Buy Orders            | Sell Orders         
--------------------------------------------
 1 12.98 102600 (1) <-- Close |  1 10.96 595200 (4) 
 2 12.71 670400 (1) <-- Close |  2 11.18 569200 (4) 
 3 12.69 819500 (1) <-- Close |  3 11.21 46400 (4)  
 4 12.61 136800 (1) <-- Close |  4 11.28 557600 (4) 
 5 12.57 194000 (2) <-- Close |  5 11.40 564800 (4) 
 6 12.55 1661200 (2) <-- Close |  6 11.43 386800 (4) 
 7 12.53 105100 (1) <-- Close |  7 11.53 746400 (4) 
 8 12.51 175100 (2) <-- Close |  8 11.54 760800 (4) 
 9 12.50 68200 (1) <-- Close |  9 11.55 1642800 (4)
10 12.49 82500 (1) <-- Close | 10 11.59 382000 (4) 
11 12.46 153900 (1) <-- Close | 11 11.60 376800 (4) 
12 12.45 1267200 (2) <-- Close | 12 11.62 2097600 (4)
13 12.44 169800 (2) <-- Close | 13 11.66 358000 (4) 
14 12.43 177700 (2) <-- Close | 14 11.69 534400 (4) 
15 12.38 373600 (3) <-- Close | 15 11.70 367600 (4) 
16 12.35 908200 (2) <-- Close | 16 11.73 514800 (4) 
17 12.34 106000 (1) <-- Close | 17 11.75 704000 (4) 
18 12.33 247600 (3) <-- Close | 18 11.81 673200 (8) 
19 12.32 70900 (1) <-- Close | 19 11.82 404800 (4) 
20 12.31 311200 (2) <-- Close | 20 11.87 543200 (4) 
21 12.30 65900 (1) <-- Close | 21 11.91 8688000 (8)
22 12.29 238000 (2) <-- Close | 22 11.94 5428000 (4) <-- Close
23 12.28 139700 (1) <-- Close | 23 11.95 3485600 (4)
24 12.27 170500 (2) <-- Close | 24 11.96 293200 (4) 
25 12.26 80200 (1) <-- Close | 25 12.00 3544800 (4)
26 12.25 111800 (1) <-- Close | 26 12.01 344800 (4) 
27 12.24 182800 (2) <-- Close | 27 12.07 3402000 (4)
28 12.22 67400 (1) <-- Close | 28 12.10 90000 (4)  
29 12.21 393700 (3) <-- Close | 29 12.15 2967200 (4)
30 12.20 740500 (5) <-- Close | 30 12.18 516400 (4) 
31 12.19 3726000 (4) <-- Close | 31 12.19 341600 (4) 
32 12.18 104400 (1) <-- Close | 32 12.26 84000 (4)  
33 12.17 169300 (2) <-- Close | 33 12.28 499600 (8) 
34 12.16 1642000 (1) <-- Close | 34 12.35 3775600 (8)
35 12.14 370300 (3) <-- Close | 35 12.46 9343200 (4)
36 12.13 808200 (1) <-- Close | 36 12.71 294000 (4) 
37 12.12 159600 (2) <-- Close |                     
38 12.09 394100 (4) <-- Close |                     
39 12.08 70400 (1) <-- Close |                     
40 12.07 463800 (3) <-- Close |                     
41 12.05 122700 (2) <-- Close |                     
42 12.04 1910200 (2) <-- Close |                     
43 12.03 169700 (2) <-- Close |                     
44 12.02 128100 (1) <-- Close |                     
45 12.00 75500 (1) <-- Close |                     
46 11.98 96800 (1) <-- Close |                     
47 11.97 1751300 (1) <-- Close |                     
48 11.96 144100 (2) <-- Close |                     
49 11.95 2330800 (3) <-- Close |                     
50 11.94 137600 (2) <-- Close |                     
51 11.93 278300 (2)   |                     
52 11.92 847900 (2)   |                     
53 11.90 267800 (1)   |                     
54 11.89 224700 (2)   |                     
55 11.88 1019100 (2)  |                     
56 11.87 181800 (2)   |                     
57 11.86 88000 (1)    |                     
58 11.85 1519900 (3)  |                     
59 11.84 288100 (3)   |                     
60 11.83 211300 (3)   |                     
61 11.82 2916000 (3)  |                     
62 11.80 261100 (2)   |                     
63 11.79 810800 (1)   |                     
64 11.78 2065900 (3)  |                     
65 11.77 110200 (1)   |                     
66 11.74 1335300 (4)  |                     
67 11.73 1208300 (3)  |                     
68 11.72 2702600 (5)  |                     
69 11.71 384600 (3)   |                     
70 11.70 73600 (1)    |                     
71 11.69 143900 (2)   |                     
72 11.66 479100 (5)   |                     
73 11.65 174700 (1)   |                     
74 11.64 246000 (3)   |                     
75 11.62 133600 (1)   |                     
76 11.61 369700 (3)   |                     
77 11.60 2720600 (3)  |                     
78 11.59 989400 (1)   |                     
79 11.58 169300 (2)   |                     
80 11.57 87000 (1)    |                     
81 11.56 1480500 (2)  |                     
82 11.55 214900 (3)   |                     
83 11.54 627800 (1)   |                     
84 11.53 219400 (2)   |                     
85 11.52 1323400 (4)  |                     
86 11.51 70100 (1)    |                     
87 11.50 67500 (1)    |                     
88 11.47 74500 (1)    |                     
89 11.46 129000 (2)   |                     
90 11.43 331600 (2)   |                     
91 11.41 89700 (1)    |                     
92 11.40 770800 (2)   |                     
93 11.39 2446900 (2)  |                     
94 11.37 196200 (1)   |                     
95 11.36 100300 (1)   |                     
96 11.35 133200 (1)   |                     
97 11.34 126300 (1)   |                     
98 11.29 73900 (1)    |                     
99 11.28 227400 (3)   |                     
100 11.25 1309200 (1) |                     
101 11.23 981400 (2)  |                     
102 11.22 113700 (1)  |                     
103 11.07 376400 (2)  |                     
104 11.02 2146200 (2) |                     
105 10.98 67200 (1)   |                     
