Order Book - 2023-06-16
Buy 63.93% | Sell 36.07%
Closing Price: 11.08

Buy Orders            | Sell Orders         
--------------------------------------------
 1 12.03 1889900 (1) <-- Close |  1 10.02 298800 (3) 
 2 11.86 437500 (1) <-- Close |  2 10.38 279900 (3) 
 3 11.76 48100 (2) <-- Close |  3 10.43 450600 (3) 
 4 11.66 276400 (2) <-- Close |  4 10.55 289500 (3) 
 5 11.60 25200 (1) <-- Close |  5 10.57 55800 (3)  
 6 11.59 39700 (2) <-- Close |  6 10.68 209100 (3) 
 7 11.58 16400 (1) <-- Close |  7 10.69 287400 (3) 
 8 11.57 118200 (2) <-- Close |  8 10.71 2537400 (3)
 9 11.55 24800 (1) <-- Close |  9 10.73 415500 (3) 
10 11.51 107400 (1) <-- Close | 10 10.85 2909700 (6)
11 11.50 25700 (1) <-- Close | 11 10.87  300 (3)   
12 11.49 17000 (1) <-- Close | 12 10.89 447600 (3) 
13 11.48 211200 (2) <-- Close | 13 10.90 3026400 (6)
14 11.45 245700 (1) <-- Close | 14 10.93 248400 (3) 
15 11.44 1991500 (2) <-- Close | 15 10.94 132900 (3) 
16 11.43 113300 (2) <-- Close | 16 10.96 273000 (3) 
17 11.42 26900 (1) <-- Close | 17 10.98 413400 (6) 
18 11.41 17000 (1) <-- Close | 18 11.02 5714400 (3)
19 11.38 17100 (1) <-- Close | 19 11.03 280800 (3) 
20 11.37 1009900 (2) <-- Close | 20 11.06 747600 (6) 
21 11.36 1345200 (3) <-- Close | 21 11.08 3087600 (6) <-- Close
22 11.35 189000 (3) <-- Close | 22 11.10 1348200 (6)
23 11.33 87100 (1) <-- Close | 23 11.13 304200 (3) 
24 11.32 261100 (2) <-- Close | 24 11.14 2694000 (3)
25 11.31 2383800 (3) <-- Close | 25 11.15 373800 (3) 
26 11.30 985900 (3) <-- Close | 26 11.16 548400 (3) 
27 11.29 315700 (4) <-- Close | 27 11.17 295200 (3) 
28 11.27 16100 (1) <-- Close | 28 11.24 549000 (6) 
29 11.25 1404800 (3) <-- Close | 29 11.25 281100 (3) 
30 11.24 284600 (3) <-- Close | 30 11.31 282900 (3) 
31 11.23 95200 (1) <-- Close | 31 11.32 2971800 (3)
32 11.21 168000 (6) <-- Close | 32 11.34 276900 (3) 
33 11.20 1932600 (3) <-- Close | 33 11.39 265200 (3) 
34 11.19 17500 (1) <-- Close | 34 11.40 274200 (3) 
35 11.18 1127200 (3) <-- Close | 35 11.48 5681400 (3)
36 11.17 89100 (1) <-- Close | 36 11.71 434100 (3) 
37 11.16 46700 (2) <-- Close | 37 11.87 251100 (3) 
38 11.15 351500 (5) <-- Close |                     
39 11.14 17800 (1) <-- Close |                     
40 11.13 252600 (5) <-- Close |                     
41 11.12 877500 (4) <-- Close |                     
42 11.11 15500 (1) <-- Close |                     
43 11.10 33600 (2) <-- Close |                     
44 11.09 494200 (4) <-- Close |                     
45 11.08 673900 (4) <-- Close |                     
46 11.07 660900 (3)   |                     
47 11.06 17000 (1)    |                     
48 11.05 221100 (2)   |                     
49 11.04 88600 (3)    |                     
50 11.03 467100 (5)   |                     
51 11.02 363000 (4)   |                     
52 11.01 1158600 (3)  |                     
53 11.00 344300 (2)   |                     
54 10.99 232100 (4)   |                     
55 10.98 1447400 (1)  |                     
56 10.97 1047200 (3)  |                     
57 10.96 1535700 (1)  |                     
58 10.95 71400 (3)    |                     
59 10.94 1143700 (4)  |                     
60 10.93 97600 (3)    |                     
61 10.92 110800 (2)   |                     
62 10.91 348900 (2)   |                     
63 10.90 251200 (2)   |                     
64 10.89 768100 (4)   |                     
65 10.88 25700 (1)    |                     
66 10.87 56300 (2)    |                     
67 10.86 88200 (1)    |                     
68 10.85 983500 (4)   |                     
69 10.84 1609200 (2)  |                     
70 10.83 134800 (3)   |                     
71 10.82 119100 (2)   |                     
72 10.81 185500 (2)   |                     
73 10.80 1225800 (4)  |                     
74 10.79 94500 (1)    |                     
75 10.78 616100 (4)   |                     
76 10.77 711400 (4)   |                     
77 10.76 282200 (4)   |                     
78 10.75 2011000 (2)  |                     
79 10.74 2018000 (3)  |                     
80 10.73 357000 (3)   |                     
81 10.72 640000 (4)   |                     
82 10.71 31300 (1)    |                     
83 10.70 1965300 (1)  |                     
84 10.68 16300 (1)    |                     
85 10.67 16700 (1)    |                     
86 10.66 285500 (2)   |                     
87 10.64 119300 (2)   |                     
88 10.63 1193400 (3)  |                     
89 10.62 224400 (1)   |                     
90 10.61 30900 (1)    |                     
91 10.59 61000 (2)    |                     
92 10.58 149200 (3)   |                     
93 10.57 1288800 (1)  |                     
94 10.56 670300 (3)   |                     
95 10.55 275200 (1)   |                     
96 10.50 957800 (2)   |                     
97 10.48 271500 (1)   |                     
98 10.47 18300 (1)    |                     
99 10.46 218600 (3)   |                     
100 10.45 18100 (1)   |                     
101 10.43 18000 (1)   |                     
102 10.40 1441500 (2) |                     
103 10.39 30400 (1)   |                     
104 10.33 18900 (1)   |                     
105 10.31 173400 (1)  |                     
106 10.27 17600 (1)   |                     
107 10.24 91800 (1)   |                     
