Order Book - 2023-06-16
Buy 77.36% | Sell 22.64%
Closing Price: 9.31

Buy Orders          | Sell Orders        
-----------------------------------------
 1 9.81 261900 (1) <-- Close |  1 8.42 472000 (4) 
 2 9.80 28200 (1) <-- Close |  2 8.51 4671600 (4)
 3 9.76 52900 (1) <-- Close |  3 8.74 234400 (4) 
 4 9.74 288100 (2) <-- Close |  4 8.76 481200 (4) 
 5 9.73 105100 (1) <-- Close |  5 9.03 443600 (4) 
 6 9.71 112800 (2) <-- Close |  6 9.06 434800 (4) 
 7 9.68 154000 (2) <-- Close |  7 9.15 73600 (4)  
 8 9.67 1256700 (1) <-- Close |  8 9.20 1107600 (4)
 9 9.65 795600 (2) <-- Close |  9 9.29 183200 (4) 
10 9.63 40400 (1) <-- Close | 10 9.31 4193200 (4) <-- Close
11 9.62 45700 (1) <-- Close | 11 9.43 416000 (4) 
12 9.61 28900 (1) <-- Close | 12 9.48 206800 (4) 
13 9.60 403800 (2) <-- Close | 13 9.53 3321600 (4)
14 9.59 55500 (2) <-- Close | 14 9.68 387600 (4) 
15 9.56 185700 (3) <-- Close | 15 9.75 210400 (4) 
16 9.55 28000 (1) <-- Close |                    
17 9.54 58100 (2) <-- Close |                    
18 9.53 32500 (1) <-- Close |                    
19 9.52 102400 (1) <-- Close |                    
20 9.51 1265300 (3) <-- Close |                    
21 9.50 662800 (2) <-- Close |                    
22 9.49 105700 (1) <-- Close |                    
23 9.47 351700 (5) <-- Close |                    
24 9.46 26900 (1) <-- Close |                    
25 9.45 535500 (2) <-- Close |                    
26 9.44 523800 (2) <-- Close |                    
27 9.43 1314100 (3) <-- Close |                    
28 9.42 1739400 (2) <-- Close |                    
29 9.41 85500 (2) <-- Close |                    
30 9.40 384800 (3) <-- Close |                    
31 9.39 377100 (4) <-- Close |                    
32 9.38 653300 (5) <-- Close |                    
33 9.37 4455900 (5) <-- Close |                    
34 9.36 76000 (2) <-- Close |                    
35 9.35 1353100 (3) <-- Close |                    
36 9.34 240200 (2) <-- Close |                    
37 9.32 265800 (1) <-- Close |                    
38 9.31 1343300 (3) <-- Close |                    
39 9.30 2154300 (4) |                    
40 9.29 140900 (2)  |                    
41 9.28 293900 (2)  |                    
42 9.27 630000 (3)  |                    
43 9.25 823000 (3)  |                    
44 9.24 25000 (1)   |                    
45 9.23 438400 (7)  |                    
46 9.22 56500 (1)   |                    
47 9.21 1188200 (4) |                    
48 9.20 2838300 (5) |                    
49 9.19 265000 (2)  |                    
50 9.18 57900 (2)   |                    
51 9.17 80500 (2)   |                    
52 9.16 238600 (2)  |                    
53 9.15 1126900 (2) |                    
54 9.14 1253800 (3) |                    
55 9.13 169200 (3)  |                    
56 9.12 84700 (3)   |                    
57 9.11 63000 (2)   |                    
58 9.10 650100 (4)  |                    
59 9.09 1199400 (3) |                    
60 9.08 1545700 (5) |                    
61 9.07 176500 (3)  |                    
62 9.06 29200 (1)   |                    
63 9.05 48600 (1)   |                    
64 9.03 55600 (1)   |                    
65 9.02 258300 (2)  |                    
66 9.01 389000 (4)  |                    
67 9.00 237900 (3)  |                    
68 8.99 58700 (2)   |                    
69 8.98 234300 (4)  |                    
70 8.97 146500 (2)  |                    
71 8.96 31100 (1)   |                    
72 8.95 31600 (1)   |                    
73 8.94 221300 (1)  |                    
74 8.93 1278700 (3) |                    
75 8.92 1790100 (2) |                    
76 8.91 145200 (2)  |                    
77 8.89 121000 (1)  |                    
78 8.88 367100 (2)  |                    
79 8.87 30600 (1)   |                    
80 8.84 278200 (3)  |                    
81 8.80 104100 (2)  |                    
82 8.78 28200 (1)   |                    
83 8.77 2549100 (3) |                    
84 8.76 1161000 (1) |                    
85 8.75 2262800 (1) |                    
86 8.73 287300 (3)  |                    
87 8.72 1475200 (2) |                    
88 8.71 31400 (1)   |                    
89 8.67 52800 (1)   |                    
90 8.66 32400 (1)   |                    
91 8.64 34700 (1)   |                    
92 8.59 103400 (1)  |                    
93 8.56 56000 (1)   |                    
94 8.53 49400 (1)   |                    
95 8.48 33300 (1)   |                    
