Order Book - 2023-06-16
Buy 77.57% | Sell 22.43%
Closing Price: 11.24

Buy Orders           | Sell Orders         
-------------------------------------------
 1 12.29 3700 (1) <-- Close |  1 10.64 1011300 (1)
 2 12.13 3500 (1) <-- Close |  2 10.74 452900 (1) 
 3 12.10 5900 (1) <-- Close |  3 10.78 97100 (1)  
 4 12.07 42300 (1) <-- Close |  4 10.82 959300 (1) 
 5 12.04 5000 (1) <-- Close |  5 10.85 82200 (1)  
 6 12.03 55800 (1) <-- Close |  6 10.98 101000 (1) 
 7 12.00 5700 (1) <-- Close |  7 11.02 98500 (1)  
 8 11.98 3800 (1) <-- Close |  8 11.04 82600 (1)  
 9 11.96 5100 (1) <-- Close |  9 11.08 904300 (3) 
10 11.94 92100 (1) <-- Close | 10 11.15 1977500 (1)
11 11.92 61600 (1) <-- Close | 11 11.18 45000 (1)  
12 11.90 5700 (1) <-- Close | 12 11.23 462200 (1) 
13 11.88 92000 (1) <-- Close | 13 11.24 1071100 (3) <-- Close
14 11.86 90000 (3) <-- Close | 14 11.25 96400 (1)  
15 11.85 3800 (1) <-- Close | 15 11.26 92200 (1)  
16 11.84 5800 (1) <-- Close | 16 11.27 6400 (1)   
17 11.83 554800 (3) <-- Close | 17 11.28 185500 (2) 
18 11.80 6200 (1) <-- Close | 18 11.29 948200 (1) 
19 11.78 1787500 (1) <-- Close | 19 11.31 980400 (2) 
20 11.76 11700 (2) <-- Close | 20 11.32 929300 (1) 
21 11.75 58500 (1) <-- Close | 21 11.33 1025200 (2)
22 11.74 4000 (1) <-- Close | 22 11.35 80800 (1)  
23 11.71 3900 (1) <-- Close | 23 11.39 49500 (1)  
24 11.70 3800 (1) <-- Close | 24 11.41 4046300 (2)
25 11.69 114200 (3) <-- Close | 25 11.44 94100 (1)  
26 11.67 35400 (1) <-- Close | 26 11.52 168900 (1) 
27 11.66 3800 (1) <-- Close | 27 11.64 89600 (1)  
28 11.65 6300 (1) <-- Close | 28 11.66 43800 (1)  
29 11.64 6200 (1) <-- Close | 29 11.67 365200 (1) 
30 11.63 285200 (3) <-- Close | 30 11.70 885600 (1) 
31 11.62 9700 (2) <-- Close | 31 11.78 136500 (1) 
32 11.61 1383000 (2) <-- Close | 32 11.80 1216000 (1)
33 11.60 50100 (2) <-- Close | 33 11.86 180700 (1) 
34 11.57 57000 (1) <-- Close | 34 11.95 91200 (1)  
35 11.56 56100 (4) <-- Close | 35 11.99 75100 (1)  
36 11.55 6500 (1) <-- Close | 36 12.05 72600 (1)  
37 11.53 4000 (1) <-- Close | 37 12.08 1243600 (2)
38 11.51 34900 (1) <-- Close | 38 12.26 65100 (1)  
39 11.50 36300 (1) <-- Close | 39 12.32 712900 (1) 
40 11.49 153500 (1) <-- Close |                     
41 11.48 16400 (3) <-- Close |                     
42 11.46 11100 (3) <-- Close |                     
43 11.45 6700 (1) <-- Close |                     
44 11.44 98400 (3) <-- Close |                     
45 11.41 116300 (3) <-- Close |                     
46 11.40 48100 (2) <-- Close |                     
47 11.39 44500 (1) <-- Close |                     
48 11.38 6600 (1) <-- Close |                     
49 11.36 278600 (3) <-- Close |                     
50 11.35 3400 (1) <-- Close |                     
51 11.34 150800 (4) <-- Close |                     
52 11.33 44800 (2) <-- Close |                     
53 11.32 16200 (3) <-- Close |                     
54 11.31 3800 (1) <-- Close |                     
55 11.30 17800 (4) <-- Close |                     
56 11.29 208500 (3) <-- Close |                     
57 11.28 19000 (3) <-- Close |                     
58 11.27 4000 (1) <-- Close |                     
59 11.26 12200 (3) <-- Close |                     
60 11.25 10100 (2) <-- Close |                     
61 11.24 4000 (1) <-- Close |                     
62 11.23 51900 (2)   |                     
63 11.22 10600 (2)   |                     
64 11.20 82900 (3)   |                     
65 11.19 1731500 (2) |                     
66 11.18 73900 (3)   |                     
67 11.17 134200 (1)  |                     
68 11.15 67100 (2)   |                     
69 11.14 14200 (3)   |                     
70 11.13 68000 (2)   |                     
71 11.12 737300 (2)  |                     
72 11.11 89400 (1)   |                     
73 11.10 179900 (3)  |                     
74 11.08 10100 (2)   |                     
75 11.05 10400 (2)   |                     
76 11.04 4200 (1)    |                     
77 11.02 92000 (2)   |                     
78 11.01 3800 (1)    |                     
79 10.99 145600 (2)  |                     
80 10.98 8400 (2)    |                     
81 10.97 4000 (1)    |                     
82 10.93 6200 (1)    |                     
83 10.91 4200 (1)    |                     
84 10.90 103900 (3)  |                     
85 10.89 63900 (1)   |                     
86 10.87 14500 (3)   |                     
87 10.85 8000 (2)    |                     
88 10.82 112700 (1)  |                     
89 10.81 47500 (1)   |                     
90 10.80 45700 (1)   |                     
91 10.77 6300 (1)    |                     
92 10.76 133700 (1)  |                     
93 10.74 96000 (1)   |                     
94 10.71 6300 (1)    |                     
95 10.69 6700 (1)    |                     
96 10.68 946100 (1)  |                     
97 10.64 4100 (1)    |                     
98 10.52 1040500 (1) |                     
99 10.47 1038200 (1) |                     
100 10.42 931400 (1) |                     
